**Bursa Malaysia Stock Categories**

This table provides a comprehensive overview of stock categories for Bursa Malaysia, sourced from both Bursa Malaysia classifications and curated lists.

| Category ID                      | Category Name                       | Visibility | Type                    | Description                                                                                                                                                                                                                                                                                                      |
| solar-power-producer-cgpp          | Solar Power Producer CGPP             | main       | Custom                  | Solar Power Producer stocks that are a part of Corporate Green Power Programme (CGPP). Under CGPP Programme an eligible Corporate Consumer, while as a normal consumer of the Electricity Utility Company, can have an agreement, called the Corporate Green Power Agreement, with a Solar Power Producer for the virtual sale and purchase of the renewable energy produced by the solar power plant. This will enable the Corporate Consumers to enhance their corporate image in the effort to contribute to the reduction of carbon dioxide emission by using renewable energy while at the same time, being backed up and supplied with secure and reliable power by the Electricity Utility Company. |
| furniture                          | Furniture                             | main       |                       | Stocks related to furniture in Bursa Malaysia                                                                                                                                                                                                                                                                         |
| construction                       | Construction                          | main       | Bursa (Main)            | Stocks related to construction of both commercial and residential buildings, infrastructures including railways, highways and roads, and companies involved in construction-related services such as architectures and interior designers in Bursa Malaysia.                                                        |
| household-goods                    | Household Goods                       | main       | Bursa (Secondary)       | Stocks related to household goods and products including consumer electronics, furniture and kitchenware in Bursa Malaysia                                                                                                                                                                                               |
| other-financials                   | Other Financials                      | main       | Bursa (Secondary)       | Stocks related to other financials services such as e stock exchanges, securities, asset management companies and other service providers to financial institutions in Bursa Malaysia                                                                                                                                   |
| financial-services                 | Financial Services                    | main       | Bursa (Main)            | Stocks related to banking, finance and insurance in Bursa Malaysia.                                                                                                                                                                                                                                                        |
| consumer-services                  | Consumer Services                     | main       | Bursa (Secondary)       | Stocks related to consumer services in Bursa Malaysia                                                                                                                                                                                                                                                                 |
| health-care-providers             | Health Care Providers                 | main       | Bursa (Secondary)       | Stocks related to health care facilities such as hospitals, clinics, nursing homes and rehabilitation centres in Bursa Malaysia                                                                                                                                                                                           |
| power-utilities                    | Power Utilities                       | main       |                       | Stocks related to power and energy utilities in Bursa Malaysia.                                                                                                                                                                                                                                                            |
| digital-services                   | Digital Services                      | main       | Bursa (Secondary)       | Stocks that are related to digital and internet-related services in Bursa Malaysia such as access providers, web design, hosting, email services, ecommerce and electronic payments.                                                                                                                                 |
| packaging-materials                | Packaging Materials                   | main       | Bursa (Secondary)       | Stocks related to packaging materials including paper, containers, cardboard, bags, boxes and cans in Bursa Malaysia                                                                                                                                                                                                   |
| diversified-industrials            | Diversified Industrials               | main       | Bursa (Secondary)       | Stocks related to diversified companies, in which they have three or more business sectors but none contributes to a substantial revenue in Bursa Malaysia                                                                                                                                                             |
| retailers                          | Retailers                             | main       | Bursa (Secondary)       | Stocks related to retail stores and direct marketing in Bursa Malaysia.                                                                                                                                                                                                                                                   |
| property                           | Property                              | main       | Bursa (Main)            | Stocks related to companies investing in properties or real estate through development, investment and ownership including service providers such as brokers, agencies, leasing companies, management companies and advisory services in Bursa Malaysia                                                                 |
| paper-packaging                    | Paper Packaging                       | main       |                       | Stocks related to paper packaging and corrugated packaging products in Bursa Malaysia                                                                                                                                                                                                                                       |
| chiau-beng-teik                    | Chiau Beng Teik related               | HIDE       |                       | Stocks that have Datuk Seri Chiau Beng Teik as substantial shareholders Source:  TheEdge                                                                                                                                                                                                      |
| hotels                             | Hotels                                | main       |                       | Stocks that related to hotels in Bursa Malaysia.                                                                                                                                                                                                                                                                           |
| precision-machining                | Precision Machining                   | main       | Custom                  | Stocks related to precision machining & precision engineering                                                                                                                                                                                                                                                             |
| fbmklci                            | FBMKLCI                               | main       | Custom                  | The list of stocks in FBMKLCI Index.                                                                                                                                                                                                                                                                                      |
| eddie-ong                          | Datuk Eddie Ong Choo Meng             | HIDE       | Custom                  | Stocks that have Datuk Eddie Ong Choo Meng as substantial shareholders Source:  TheEdge                                                                                                                                                                                                 |
| new-ipo                            | IPO                                   | HIDE       |                       | The most recent IPOs.                                                                                                                                                                                                                                                                                                        |
| upstream-oil-and-gas               | Upstream Oil & Gas                    | main       |                       | Stocks related to upstream oil and gas (o&g) in Bursa Malaysia.                                                                                                                                                                                                                                                           |
| green-tech                         | Green Tech                            | main       |                       | Stocks that related to Renewable Energy (RE), GreenTech, CleanTech, Solar Photovoltaic (PV) in Bursa Malaysia.                                                                                                                                                                                                                 |
| building-materials                 | Building Materials                    | main       | Bursa (Secondary)       | Stocks related to building materials and construction materials including cement, concrete, tiles and paint in Bursa Malaysia                                                                                                                                                                                               |
| ev-charger                         | EV Charger                            | HIDE       | Custom                  | Stocks related to electric vehicle charger modules, distribution and/or installation in Bursa Malaysia                                                                                                                                                                                                                         |
| health-care-equipment-services  | Health Care Equipment & Services      | main       | Bursa (Secondary)       | Stocks that are related to the health care equipment and services including lab testing services and dialysis centers in Bursa Malaysia                                                                                                                                                                                          |
| healthcare                         | Healthcare                            | main       | Bursa (Main)            | Stocks related to healthcare and pharmacies in Bursa Malaysia.                                                                                                                                                                                                                                                              |
| insurance                          | Insurance                             | main       | Bursa (Secondary)       | Stocks related to insurance & takaful, covering life, health, property and casualty in Bursa Malaysia                                                                                                                                                                                                                   |
| apparels                           | Apparels                              | main       |                       |                                                                                                                                                                                                                                                                                                                             |
| highway                            | Highway                               | main       | Custom                  | Stocks related to highway and toll concessions in Bursa Malaysia.                                                                                                                                                                                                                                                            |
| blue-chip                          | Blue Chip                             | HIDE       | Custom                  | Stocks that have the highest market shares in Bursa Malaysia. Most of them make up the FBMKLCI index.                                                                                                                                                                                                                          |
| poultry-and-eggs                   | Poultry & Eggs                        | main       |                       | Stocks related to poultry and eggs in Bursa Malaysia. Sector risks: weak ringgit, rising poultry feed prices, lower egg prices (price control scheme) and increase production cost (El Nino: Bird mortality increased, egg production dropped, production cost increased) |
| automation                         | Automation                            | main       |                       | Stocks related to factory automation, automated equipment, tech automation and The Fourth Industrial Revolution (IR 4.0) in Bursa Malaysia                                                                                                                                                                                 |
| digital-banks                      | Digital Banks                         | main       | Custom                  | Successful Digital Bank Licences applicants, consortium related companies                                                                                                                                                                                                                                                     |
| small-cap                          | Small Cap                             | HIDE       | Custom                  | 200 Stocks that have the highest market shares after the Mid Caps in Bursa Malaysia. Most of them make up the FTSE Bursa Malaysia Small Cap Index (FBMSCAP).                                                                                                                                                              |
| micro-cap                          | Micro Cap                             | HIDE       | Custom                  | 200 Stocks that have the highest market shares after the Small Caps in Bursa Malaysia.                                                                                                                                                                                                                                          |
| exports                            | Exports                               | main       |                       | Stocks that benefits from strong USD and weak ringgit in Bursa Malaysia.                                                                                                                                                                                                                                                        |
| media                              | Media                                 | main       | Bursa (Secondary)       | Stocks related to media and publishing through radio, television, music and film entertainment, and publisher of news and information in Bursa Malaysia. These companies also provide advertising, public relations and marketing services.                                                                     |
| oil-and-gas                        | Oil & Gas                             | main       | Custom                  | Stocks related to oil and gas (o&g) in Bursa Malaysia.                                                                                                                                                                                                                                                                     |
| consumer-products                  | Consumer Products                     | main       |                       | Stocks related to consumer products in Bursa Malaysia.                                                                                                                                                                                                                                                                     |
| gas-water-multi-utilities        | Gas, Water & Multi-Utilities        | main       | Bursa (Secondary)       | Stocks related to gas, water & multi-utility companies in Bursa Malaysia                                                                                                                                                                                                                                                     |
| telecommunications-media           | Telecommunications & Media            | main       | Bursa (Main)            | Stocks related to telecommunications and media in Bursa Malaysia                                                                                                                                                                                                                                                           |
| oil-gas-producers                  | Oil & Gas Producers                   | main       | Bursa (Secondary)       | Stocks related to oil & gas producers in Bursa Malaysia. These companies are engaged in the exploration and production of oil and gas.                                                                                                                                                                                    |
| wood-wood-products                 | Wood & Wood Products                  | main       | Bursa (Secondary)       | Stocks related to wood, timber and wood products in Bursa Malaysia                                                                                                                                                                                                                                                          |
| energy-infrastructure-equipment-services | Energy Infrastructure, Equipment & Services | main       | Bursa (Secondary)       | Stocks related to energy infrastructure, equipment and services in Bursa Malaysia, this includes suppliers of equipment and services to oil and gas producers such as drilling, exploration and platform construction.                                                                                 |
| reits                              | REITs                                 | main       | Bursa (Secondary)       | Stocks related to real estate investment trusts in Bursa Malaysia. These companies focus their investment portfolio in income-generating properties including shopping malls, hotels, offices and service apartments                                                                                                   |
| automotive-and-automobiles         | Automotive & Automobiles              | main       | Custom                  | Stocks related to automotive and passenger automobiles in Bursa Malaysia based on revenue break down.                                                                                                                                                                                                                        |
| mid-cap                            | Mid Cap                               | main       | Custom                  | 70 Stocks that have the highest market shares after the Blue Chips in Bursa Malaysia. Most of them make up the FTSE Bursa Malaysia Mid 70 Index (FBM70).                                                                                                                                                                |
| flat-steel                         | Flat Steel                            | main       | Custom                  | Stocks related to flat steels, hot or cold rolled coils, and steel pipes.                                                                                                                                                                                                                                                   |
| f4gbm-shariah                      | F4GBM Shariah                         | main       |                       | The F4GBM Shariah comprises the eligible companies from the universe of the top 200 companies in the FTSE Bursa Malaysia EMAS Index that meet a variety of environmental, social and governance (ESG) criteria and shariah-compliant criteria.                                                                           |
| rubber-gloves                      | Rubber Gloves                         | main       | Custom                  | Stocks related to rubber gloves in Bursa Malaysia.                                                                                                                                                                                                                                                                          |
| automotive                         | Automotive                            | main       | Bursa (Secondary)       | Stocks related to automotive and passenger automobiles in Bursa Malaysia                                                                                                                                                                                                                                                     |
| banking                            | Banking                               | main       | Bursa (Secondary)       | Stocks related to banking in Bursa Malaysia, where they provides a broad range of financial services including retail banking, financing and money transfers.                                                                                                                                                              |
| pharmaceuticals                    | Pharmaceuticals                       | main       | Bursa (Secondary)       | Stocks related to the research, development, production and distribution of pharmaceuticals in Bursa Malaysia                                                                                                                                                                                                              |
| travel-leisure-and-hospitality   | Travel, Leisure & Hospitality       | main       | Bursa (Secondary)       | Stocks related to travel, vacation, leisure, hotels, hospitality, airlines, restaurants, recreational services and gambling in Bursa Malaysia.                                                                                                                                                                        |
| plantation                         | Plantation                            | main       | Bursa (Main)            | Stocks related to plantation, cultivation, planting and replanting of crops, and crude palm oil (CPO) in Bursa Malaysia.                                                                                                                                                                                                 |
| timbers                            | Timbers                               | main       | Custom                  | Stocks related to timbers, lumbers, logs, "pembalakkan" in Bursa Malaysia.                                                                                                                                                                                                                                                   |
| logistics                          | Logistics                             | main       | Custom                  | Stocks related to logistics service or e-commerce in Bursa Malaysia                                                                                                                                                                                                                                                           |
| cocoa                              | Cocoa                                 | main       | Custom                  | Stocks related to cocoa, chocolates and Cocoa Futures (CC).                                                                                                                                                                                                                                                               |
| dry-bulk-carrier                   | Dry Bulk Carrier                      | main       | Custom                  | Stocks related to dry bulk carrier, raw material shipment and Baltic Dry Index (BDI) in Bursa Malaysia                                                                                                                                                                                                                        |
| digital-bank-contenders            | Digital Bank Contenders               | HIDE       | Custom                  | Digital banking is part of the broader context for the move to online banking, where banking services are delivered over the internet. The shift from traditional to digital banking has been gradual and remains ongoing, and is constituted by differing degrees of banking service digitization.                    |
| fintec                             | FINTEC                                | HIDE       | Custom                  | Stocks related to FINTEC parent company                                                                                                                                                                                                                                                                                   |
| all-stocks                         | All Stocks                            | HIDE       |                       | Every stock in Bursa Malaysia.                                                                                                                                                                                                                                                                                                 |
| manufacturing                      | Manufacturing                         | main       |                       |                                                                                                                                                                                                                                                                                                                             |
| electronic-manufacturing-services | Electronic Manufacturing Services (EMS) | main       |                       | Stocks related to electronic manufacturing services in Bursa Malaysia                                                                                                                                                                                                                                                      |
| covid-19-vaccine                   | Vaccine                               | main       | Custom                  | Stocks that involve in Covid-19 vaccine partnership, distribution or packaging.                                                                                                                                                                                                                                                |
| telco                              | Telco                                 | main       |                       | Stocks related to telcos in Bursa Malaysia                                                                                                                                                                                                                                                                                  |
| industrial-products                | Industrials Products                  | HIDE       |                       | Stocks related to industrial products & services in Bursa Malaysia                                                                                                                                                                                                                                                           |
| packaging                          | Packaging                             | main       |                       | Stocks related to packaging in Bursa Malaysia                                                                                                                                                                                                                                                                                  |
| it-solutions                       | IT Solutions/ IT Product              | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| politic-related                    | Politic Related                       | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| integrated-immigration-system  | Integrated Immigration System          | HIDE       |                       | Companies that provide solutions or bid projects related to Integrated Immigration System (IIS) and secure identification solutions.                                                                                                                                                                                          |
| petrol-refiners-and-distributors | Petrol Refiners and Distributors      | main       |                       | Stocks related to petrol refiners and distributors in Bursa Malaysia.                                                                                                                                                                                                                                                          |
| speaker-systems                    | Speaker Systems                       | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| lrt3                               | LRT3                                  | HIDE       | Custom                  | Stocks related to the ongoing LRT3 project                                                                                                                                                                                                                                                                                     |
| payment-products                   | Payment Products                      | main       |                       | Stocks related to payment products, payment service providers (PSP), payment systems, online payment, e-wallet and potentially cryptocurrencies payment gateways.                                                                                                                                                            |
| budget-2021                        | Budget 2021                           | HIDE       | Custom                  | Stocks that are expected to gain benefit from the tabling of Budget 2021.                                                                                                                                                                                                                                                     |
| 5g                                 | 5G                                    | main       |                       | Stocks related to 5G in Bursa Malaysia                                                                                                                                                                                                                                                                                      |
| sector-x                           | Sector X                              | HIDE       | Custom                  |                                                                                                                                                                                                                                                                                                                             |
| copper-product                     | Copper Product                        | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| aluminium                          | Aluminium                             | main       |                       | Stocks related to aluminium and silicon in Bursa Malaysia                                                                                                                                                                                                                                                                     |
| telecommunications-equipment       | Telecommunications Equipment          | main       | Bursa (Secondary)       | Stocks related to telecommunications equipment such as satellites, LANs, WANs, routers, mobile telephones, fiber optics and teleconferencing equipment in Bursa Malaysia                                                                                                                                                 |
| gold                               | Gold                                  | main       |                       | Stocks that related to gold and silver in Bursa Malaysia                                                                                                                                                                                                                                                                     |
| solar                              | Solar                                 | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| aviation                           | Aviation                              | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| transportation-equipment           | Transportation Equipment              | main       | Bursa (Secondary)       | Stocks related to transportation equipment such as shipbuilders in Bursa Malaysia.                                                                                                                                                                                                                                              |
| telecommunications-service-providers | Telecommunications Service Providers | main       | Bursa (Secondary)       | Stocks related to Internet and telecommunications service providers, both mobile and fixed-line networks and providers of satellite and wireless data communication solutions in Bursa Malaysia                                                                                                                           |
| other-energy-resources             | Other Energy Resources                | HIDE       | Bursa (Secondary)       | Stocks related to producers of alternative energy such as renewable energy and alternative fuels in Bursa Malaysia                                                                                                                                                                                                            |
| long-steel                         | Long Steel                            | main       | Custom                  | Stocks related to long steels, steel billet and steel rebar.                                                                                                                                                                                                                                                               |
| electric-vehicles                  | Electric Vehicles                     | main       | Custom                  | Stocks related to electric vehicles and automotive technologies in Bursa Malaysia                                                                                                                                                                                                                                               |
| lss4                               | LSS4                                  | main       | Custom                  | Companies awarded the latest Large Scale Solar (LSS4) contract.                                                                                                                                                                                                                                                          |
| integrated-facilities-management | Integrated Facilities Management        | main       |                       | Stocks that are related to integrated facilities management (IFM) listed on Bursa Malaysia.                                                                                                                                                                                                                                     |
| small-mid-cap                      | Small & Mid Cap*                      | HIDE       |                       | Stocks that are in the small and mid cap categories (market cap between 200 million to 2 billion) as on 31 December 2018 and eligible for waiver of stamp duty starting 1 Jan 2020.                                                                                                                                      |
| office-products                    | Office Products                       | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| plastics                           | Plastics                              | main       |                       | Stocks related to plastics in Bursa Malaysia                                                                                                                                                                                                                                                                                 |
| semiconductors-osat                | OSAT                                  | main       | Custom                  | Stocks related to outsourced semiconductor assembly and test (OSAT) in Bursa Malaysia                                                                                                                                                                                                                                       |
| stationery                         | Stationery                            | main       |                       | Stocks related to stationery and paper products in Bursa Malaysia                                                                                                                                                                                                                                                             |
| led                                | LED                                   | main       |                       | Stocks related to LED manufacturing, test equipment, automation and technology. Future automotive will feature ultra high density with up to 4,000 LEDs per car.                                                                                                                                                             |
| factory-automation                 | Factory Automation                    | HIDE       | Custom                  | Stocks related to factory automation, production system line, assembly line in Bursa Malaysia                                                                                                                                                                                                                                 |
| prime-movers                       | Prime Movers & Trailers               | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| freight-forwarding                 | Freight Forwarding                    | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| shipping-ports                     | Shipping Ports                        | main       |                       | Stocks related to shipping ports in Bursa Malaysia.                                                                                                                                                                                                                                                                          |
| warehousing                        | Warehousing                           | HIDE       | Custom                  |                                                                                                                                                                                                                                                                                                                             |
| container-ship-owner               | Container Ship Owner                  | HIDE       | Custom                  |                                                                                                                                                                                                                                                                                                                             |
| semiconductors-ate                 | ATE                                   | main       | Custom                  | Stocks related to companies that design, manufacture or distribute automated test equipment (ATE) for the semiconductor industry.                                                                                                                                                                                          |
| midstream-oil-and-gas            | Midstream Oil & Gas                   | main       |                       | Stocks related to midstream oil and gas (o&g) in Bursa Malaysia.                                                                                                                                                                                                                                                             |
| papers                             | Papers                                | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| education                          | Education                             | main       |                       |                                                                                                                                                                                                                                                                                                                             |
| conglomerates                      | Conglomerates                         | main       | Custom                  | Stocks related to large corporate group that consists of multiple companies in different industries.                                                                                                                                                                                                                            |
| donald-trump                       | Donald Trump                          | HIDE       | Custom                  | Stocks related to the sectors that should benefit if Donald Trump wins the United Stated Presidential Election 2020.                                                                                                                                                                                                       |
| joe-biden                          | Joe Biden                             | HIDE       | Custom                  | Stocks related to the sectors that should benefit if Joe Biden wins the United Stated Presidential Election 2020.                                                                                                                                                                                                         |
| utilities                          | Utilities                             | main       | Bursa (Main)            | Stocks related to utilities in Bursa Malaysia                                                                                                                                                                                                                                                                             |
| sarawak                            | Sarawak                               | main       |                       | Stocks related to sarawak and benefits from sarawak election in Bursa Malaysia                                                                                                                                                                                                                                                 |
| coronavirus                        | Coronavirus                           | main       |                       | Stocks that are related to healthcare and service for patients to combat coronavirus and covid-19.                                                                                                                                                                                                                           |
| courier-service                    | Courier Service                       | main       |                       | Stocks related to delivery / courier service in Bursa Malaysia. Not listed in Bursa Malaysia: Skynet, Kangaroo, FEDEX, Airpax, DHL, UPS                                                                                                                                                                                         |
| stock-brokers                      | Stock Brokers                         | main       |                       | Stocks related to investment brokerage firms, stocks trading in Bursa Malaysia                                                                                                                                                                                                                                                     |
| water-utilities                    | Water Utilities                       | main       |                       | Stocks related to water utilities in Bursa Malaysia.                                                                                                                                                                                                                                                                             |
| wooden-products                    | Wooden Products                       | main       |                       | Stocks related to woods and wooden products in Bursa Malaysia                                                                                                                                                                                                                                                                   |
| polymer                            | Polymer                               | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| f4gbm                              | F4GBM                                 | main       |                       | The F4GBM Index comprises the eligible companies from the universe of the top 200 companies in the FTSE Bursa Malaysia EMAS Index that meet a variety of environmental, social and governance (ESG) criteria.                                                                                                               |
| plastic-product2                   | Plastic Product (Precision Manufacturing) | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| electrical-and-electronics       | E&E                                   | HIDE       |                       | Stocks related to electrical and electronics (E&E) in Bursa Malaysia.                                                                                                                                                                                                                                                        |
| aerospace                          | Aerospace                             | main       |                       | Stocks that related to aerospace in Bursa Malaysia.                                                                                                                                                                                                                                                                            |
| msci                               | MSCI                                  | main       |                       | The list of stocks in MSCI Index.                                                                                                                                                                                                                                                                                              |
| big-brands-food-and-beverages      | Big Brands F&B                        | HIDE       |                       | Stocks related to big brands of foods & beverages in Bursa Malaysia.                                                                                                                                                                                                                                                          |
| condom                             | Condom                                | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| brewery                            | Brewery                               | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| infrastructure                     | Infrastructure (IPC)                  | main       |                       | Stocks related to infrastructure project in Bursa Malaysia                                                                                                                                                                                                                                                                     |
| trading-and-services             | Trading & Services                    | main       |                       | Stocks related to trading and services in Bursa Malaysia                                                                                                                                                                                                                                                                        |
| sugar-and-flour                    | Sugar & Flour                         | main       |                       | Stocks that related to sugar or flour in Bursa Malaysia                                                                                                                                                                                                                                                                         |
| glc                                | GLCs                                  | main       |                       | Stocks related to government-linked companies and election play in Bursa Malaysia                                                                                                                                                                                                                                               |
| downstream-oil-and-gas           | Downstream Oil & Gas                | main       |                       | Stocks related to downstream oil and gas (o&g) in Bursa Malaysia.                                                                                                                                                                                                                                                          |
| syed-mokhtar-albukhary           | Tan Sri Syed Mokhtar Al-Bukhary       | HIDE       |                       | Stocks related to Tan Sri Syed Mokhtar Al-Bukhary in Bursa Malaysia.                                                                                                                                                                                                                                                             |
| asset-management-service           | Asset Management Service              | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| computer-peripheral                | Computer Peripheral                   | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| crane                              | Crane                                 | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| drinking-water                     | Drinking Water                        | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
| engineering-service                | Engineering Service                   | HIDE       |                       |                                                                                                                                                                                                                                                                                                                             |
